Disease,Description
Meningioma,Meningioma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Meningitis,Meningitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Menopause,Menopause is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Metabolic Disorder,Metabolic Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Metabolic Syndrome,"Metabolic syndrome is a cluster of conditions including high blood pressure, high blood sugar, excess abdominal fat, and abnormal cholesterol levels."
Metastatic Cancer,Metastatic Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Migraine,"Migraine is a neurological disorder characterized by recurrent, severe headaches often with nausea, vomiting, and sensitivity to light and sound."
Missed Abortion,Missed Abortion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Mitral Valve Disease,Mitral Valve Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Mittelschmerz,Mittelschmerz is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Molluscum Contagiosum,Molluscum Contagiosum is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Mononeuritis,Mononeuritis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Mononucleosis,Mononucleosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Moyamoya Disease,Moyamoya Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Mucositis,Mucositis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Multiple Myeloma,Multiple Myeloma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Multiple Sclerosis,"Multiple sclerosis is a chronic autoimmune disease of the central nervous system that damages the myelin sheath, disrupting signals between the brain and body."
Mumps,Mumps is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Muscle Spasm,Muscle Spasm is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Muscular Dystrophy,Muscular Dystrophy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Myasthenia Gravis,Myasthenia Gravis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Myelodysplastic Syndrome,Myelodysplastic Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Myocarditis,Myocarditis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Myoclonus,Myoclonus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Myopia,Myopia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Myositis,Myositis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Narcolepsy,Narcolepsy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Nasal Disorder,Nasal Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Nasal Polyp,Nasal Polyp is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Necrotizing Fasciitis,Necrotizing Fasciitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Neonatal Jaundice,Neonatal Jaundice is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Nerve Impingement Near The Shoulder,Nerve Impingement Near The Shoulder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Neuralgia,Neuralgia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Neurofibromatosis,Neurofibromatosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Neuropathy Due To Drugs,Neuropathy Due To Drugs is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Neurosis,Neurosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Niemann-Pick Disease,Niemann-Pick Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Nonalcoholic Liver Disease (Nash),Nonalcoholic Liver Disease (Nash) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Noninfectious Gastroenteritis,Noninfectious Gastroenteritis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Normal Pressure Hydrocephalus,Normal Pressure Hydrocephalus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Obesity,Obesity is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Obsessive Compulsive Disorder (Ocd),Obsessive Compulsive Disorder (Ocd) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Obstructive Sleep Apnea (OSA),"OSA is a sleep disorder in which breathing repeatedly stops and starts during sleep due to throat muscles relaxing, causing daytime fatigue."
Omphalitis,Omphalitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Onychomycosis,Onychomycosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound From Surgical Incision,Open Wound From Surgical Incision is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Abdomen,Open Wound Of The Abdomen is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Arm,Open Wound Of The Arm is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Back,Open Wound Of The Back is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Cheek,Open Wound Of The Cheek is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Chest,Open Wound Of The Chest is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Ear,Open Wound Of The Ear is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Eye,Open Wound Of The Eye is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Face,Open Wound Of The Face is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Foot,Open Wound Of The Foot is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Head,Open Wound Of The Head is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Jaw,Open Wound Of The Jaw is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Knee,Open Wound Of The Knee is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Lip,Open Wound Of The Lip is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Mouth,Open Wound Of The Mouth is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Neck,Open Wound Of The Neck is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Nose,Open Wound Of The Nose is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Open Wound Of The Shoulder,Open Wound Of The Shoulder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Oppositional Disorder,Oppositional Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Optic Neuritis,Optic Neuritis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Oral Leukoplakia,Oral Leukoplakia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Oral Mucosal Lesion,Oral Mucosal Lesion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Oral Thrush (Yeast Infection),Oral Thrush (Yeast Infection) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Orbital Cellulitis,Orbital Cellulitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Orthostatic Hypotension,Orthostatic Hypotension is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Osteoarthritis,"Osteoarthritis is the most common form of arthritis, involving the breakdown of joint cartilage, causing pain, stiffness, and reduced range of motion."
Osteochondroma,Osteochondroma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Osteochondrosis,Osteochondrosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Osteomyelitis,Osteomyelitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Osteopetrosis,Osteopetrosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Osteoporosis,Osteoporosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Otitis Externa,Otitis Externa is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Otitis Media,Otitis Media is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Otosclerosis,Otosclerosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ovarian Cancer,Ovarian Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ovarian Cyst,Ovarian Cyst is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Ovarian Torsion,Ovarian Torsion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Overflow Incontinence,Overflow Incontinence is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pain After An Operation,Pain After An Operation is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pain Disorder Affecting The Neck,Pain Disorder Affecting The Neck is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pancreatic Cancer,Pancreatic Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Panic Attack,Panic Attack is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Panic Disorder,Panic disorder is a type of anxiety disorder characterized by recurrent unexpected panic attacks and persistent worry about future attacks.
Parasitic Disease,Parasitic Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Parathyroid Adenoma,Parathyroid Adenoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Parkinson's Disease,"Parkinson's disease is a progressive neurological disorder affecting movement, causing tremors, stiffness, slow movements, and balance problems."
Paronychia,Paronychia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Paroxysmal Supraventricular Tachycardia,Paroxysmal Supraventricular Tachycardia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Paroxysmal Ventricular Tachycardia,Paroxysmal Ventricular Tachycardia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pelvic Fistula,Pelvic Fistula is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pelvic Inflammatory Disease (PID),Pelvic Inflammatory Disease (PID) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pelvic Organ Prolapse,Pelvic Organ Prolapse is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pemphigus,Pemphigus is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Peptic Ulcer Disease,"Peptic ulcer disease involves open sores that develop on the lining of the stomach, small intestine, or esophagus, often caused by H. pylori infection or NSAIDs."
Pericarditis,Pericarditis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Peripheral Arterial Disease,Peripheral Arterial Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Peripheral Arterial Embolism,Peripheral Arterial Embolism is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Peripheral Nerve Disorder,Peripheral Nerve Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Perirectal Infection,Perirectal Infection is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Peritonitis,Peritonitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Peritonsillar Abscess,Peritonsillar Abscess is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Persistent Vomiting Of Unknown Cause,Persistent Vomiting Of Unknown Cause is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Personality Disorder,Personality Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Peyronie Disease,Peyronie Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pharyngitis,Pharyngitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Phimosis,Phimosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pilonidal Cyst,Pilonidal Cyst is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pinguecula,Pinguecula is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pinworm Infection,Pinworm Infection is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pituitary Adenoma,Pituitary Adenoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pituitary Disorder,Pituitary Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pityriasis Rosea,Pityriasis Rosea is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Placenta Previa,Placenta Previa is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Placental Abruption,Placental Abruption is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Plantar Fasciitis,Plantar Fasciitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pleural Effusion,Pleural Effusion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pneumoconiosis,Pneumoconiosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, causing cough with phlegm, fever, and difficulty breathing."
Pneumothorax,Pneumothorax is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Poisoning Due To Analgesics,Poisoning Due To Analgesics is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Poisoning Due To Anticonvulsants,Poisoning Due To Anticonvulsants is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Poisoning Due To Antidepressants,Poisoning Due To Antidepressants is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Poisoning Due To Antihypertensives,Poisoning Due To Antihypertensives is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Poisoning Due To Antimicrobial Drugs,Poisoning Due To Antimicrobial Drugs is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Poisoning Due To Antipsychotics,Poisoning Due To Antipsychotics is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Poisoning Due To Ethylene Glycol,Poisoning Due To Ethylene Glycol is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Poisoning Due To Gas,Poisoning Due To Gas is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Poisoning Due To Opioids,Poisoning Due To Opioids is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Poisoning Due To Sedatives,Poisoning Due To Sedatives is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Polycystic Kidney Disease,Polycystic Kidney Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Polycystic Ovarian Syndrome (Pcos),Polycystic Ovarian Syndrome (Pcos) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Polycystic Ovary Syndrome (PCOS),"PCOS is a hormonal disorder common in women of reproductive age, causing irregular periods, excess androgens, and polycystic ovaries."
Polycythemia Vera,Polycythemia Vera is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Polymyalgia Rheumatica,Polymyalgia Rheumatica is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Post-Traumatic Stress Disorder (Ptsd),Post-Traumatic Stress Disorder (Ptsd) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Postoperative Infection,Postoperative Infection is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Postpartum Depression,Postpartum Depression is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Preeclampsia,Preeclampsia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pregnancy,Pregnancy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pregnancy Complications,Pregnancy Complications is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Premature Atrial Contractions (Pacs),Premature Atrial Contractions (Pacs) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Premature Ovarian Failure,Premature Ovarian Failure is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Premature Rupture Of Amniotic Membrane,Premature Rupture Of Amniotic Membrane is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Premature Ventricular Contractions (Pvcs),Premature Ventricular Contractions (Pvcs) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Premenstrual Tension Syndrome,Premenstrual Tension Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Presbyacusis,Presbyacusis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Presbyopia,Presbyopia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Priapism,Priapism is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Primary Immunodeficiency,Primary Immunodeficiency is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Primary Insomnia,Primary Insomnia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Primary Kidney Disease,Primary Kidney Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Primary Thrombocythemia,Primary Thrombocythemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Prostate Cancer,Prostate Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Prostatitis,Prostatitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Protein Deficiency,Protein Deficiency is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pseudohypoparathyroidism,Pseudohypoparathyroidism is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pseudotumor Cerebri,Pseudotumor Cerebri is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Psoriasis,"Psoriasis is a chronic autoimmune skin condition causing rapid skin cell buildup, resulting in scaling, red patches, and itching."
Psychosexual Disorder,Psychosexual Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Psychotic Disorder,Psychotic Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pterygium,Pterygium is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pulmonary Congestion,Pulmonary Congestion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pulmonary Embolism,Pulmonary Embolism is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pulmonary Eosinophilia,Pulmonary Eosinophilia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pulmonary Fibrosis,Pulmonary Fibrosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pulmonary Hypertension,Pulmonary Hypertension is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pulmonic Valve Disease,Pulmonic Valve Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pyelonephritis,Pyelonephritis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pyloric Stenosis,Pyloric Stenosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Pyogenic Skin Infection,Pyogenic Skin Infection is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Raynaud Disease,Raynaud Disease is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Reactive Arthritis,Reactive Arthritis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Rectal Disorder,Rectal Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Restless Leg Syndrome,Restless Leg Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Retinal Detachment,Retinal Detachment is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Retinopathy Due To High Blood Pressure,Retinopathy Due To High Blood Pressure is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Rhabdomyolysis,Rhabdomyolysis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Rheumatic Fever,Rheumatic Fever is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Rheumatoid Arthritis,"Rheumatoid arthritis is a chronic autoimmune disorder causing inflammation in the joints, leading to joint damage, pain, swelling, and deformity."
Rocky Mountain Spotted Fever,Rocky Mountain Spotted Fever is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Rosacea,Rosacea is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Rotator Cuff Injury,Rotator Cuff Injury is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Salivary Gland Disorder,Salivary Gland Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sarcoidosis,"Sarcoidosis is an inflammatory disease where abnormal clusters of cells (granulomas) form in various organs, most commonly the lungs and lymph nodes."
Scabies,Scabies is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Scar,Scar is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Scarlet Fever,Scarlet Fever is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Schizophrenia,Schizophrenia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sciatica,Sciatica is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Scleritis,Scleritis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Scleroderma,Scleroderma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Scoliosis,Scoliosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Scurvy,Scurvy is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sebaceous Cyst,Sebaceous Cyst is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Seborrheic Dermatitis,Seborrheic Dermatitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Seborrheic Keratosis,Seborrheic Keratosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sensorineural Hearing Loss,Sensorineural Hearing Loss is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sepsis,Sepsis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Septic Arthritis,Septic Arthritis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Shingles (Herpes Zoster),"Shingles is a viral infection caused by the reactivation of the varicella-zoster virus, causing a painful skin rash with blisters."
Sialoadenitis,Sialoadenitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sick Sinus Syndrome,Sick Sinus Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sickle Cell Anemia,Sickle Cell Anemia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sickle Cell Disease,"Sickle cell disease is an inherited blood disorder where red blood cells are abnormally shaped, causing pain crises, anemia, and organ damage."
Sinus Bradycardia,Sinus Bradycardia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sinusitis,"Sinusitis is an inflammation of the sinuses, often following a cold or allergy, causing facial pain, nasal congestion, and thick nasal discharge."
Sjogren Syndrome,Sjogren Syndrome is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Skin Cancer,Skin Cancer is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Skin Disorder,Skin Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Skin Pigmentation Disorder,Skin Pigmentation Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Skin Polyp,Skin Polyp is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Smoking Or Tobacco Addiction,Smoking Or Tobacco Addiction is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Social Phobia,Social Phobia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Soft Tissue Sarcoma,Soft Tissue Sarcoma is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Somatization Disorder,Somatization Disorder is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Spermatocele,Spermatocele is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Spherocytosis,Spherocytosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Spina Bifida,Spina Bifida is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Spinal Muscular Atrophy (SMA),Spinal Muscular Atrophy (SMA) is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Spinal Stenosis,Spinal Stenosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Spinocerebellar Ataxia,Spinocerebellar Ataxia is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Spondylitis,Spondylitis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Spondylolisthesis,Spondylolisthesis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Spondylosis,Spondylosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Spontaneous Abortion,Spontaneous Abortion is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sporotrichosis,Sporotrichosis is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Sprain Or Strain,Sprain Or Strain is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
Stenosis Of The Tear Duct,Stenosis Of The Tear Duct is a medical condition requiring professional evaluation. Please consult a healthcare provider for diagnosis and treatment.
